Ts_L4,T_return,mf_return,P_l1,P_l2,P_l3,P_l4,u_tb
74.4453473771733,64.8092503316525,3.36087330647734,-34407.016805428,-33073.5077383784,-32185.5543799196,-33316.9143510319,74.7535669423333
74.5060440850775,64.8080791006251,3.34121413208306,-34425.0661920106,-33068.5920520887,-32243.5473501245,-33322.1616635588,74.6720303318087
74.4260101860718,64.8097763635819,3.36783604508406,-34433.5352679984,-33004.7010941943,-32211.8426379678,-33322.8092449996,74.7149745294161
74.4681425984555,64.8088274368659,3.42374136446073,-34795.3262787894,-34457.5276334478,-33365.6134488474,-33227.505995077,74.7337897640493
74.4861007090782,64.8124885895717,3.41911692276723,-34801.0153178268,-34475.841643634,-33327.5314450482,-33282.3063089913,74.7506635313481
74.5063430144961,64.8121394065979,3.41267623768749,-34788.454710909,-34563.2145594375,-33308.7160827516,-33255.2628171096,74.7116883821125
74.4687866987149,64.812908015955,3.42753547812774,-34797.1702692337,-34517.9618774261,-33396.9481989381,-33247.1833874095,74.6979891541028
74.4556361744858,64.813230404414,3.4305207319287,-34838.0350150183,-34453.4588102843,-33285.6145125289,-33313.5023351124,74.6590470901988
74.4179120952829,64.8138764661321,3.44382405068714,-34767.0768279101,-34475.5791190449,-33302.8560373978,-33323.0147862669,74.7197350165944
74.4774039908025,64.8126950683663,3.42250837058368,-34768.1584912028,-34492.5179672228,-33373.6801110868,-33261.3736198735,74.731243568552
74.4883896911709,64.8124860154126,3.42297128223996,-34825.5368345628,-34532.0706303313,-33367.3293737718,-33344.624122672,74.7598662715998
74.5161352182324,64.8122002575892,3.41038226172756,-34770.993459195,-34522.1439572511,-33338.3688235516,-33332.2570400289,74.7499956860681
74.5068051867922,64.8122364731929,3.41361365986908,-34784.3263136731,-34505.9010254492,-33364.7245303283,-33297.7961462863,74.7116961429805
74.4690576604193,64.8129616842364,3.42796305721402,-34768.4337840649,-34531.2638432879,-33428.7213179577,-33251.6855118588,74.7022393601648
74.4598706736084,64.8131993493918,3.43013703479418,-34764.3423049872,-34530.230347883,-33367.5422263023,-33274.7195681821,74.7796769575617
74.5360525743732,64.8116348748342,3.73813974668394,-34791.2025023797,-46814.9097339775,-33347.9815244092,-34672.6742347981,74.7202917945889
74.4731632549015,64.8299691400671,3.76588472085899,-34777.0012518951,-46762.698515898,-33315.0117949093,-34664.0667566435,74.7476048027543
74.5211207545391,64.8289461306601,3.74544563274154,-34721.1142392765,-46793.6739863592,-33335.3003614764,-34566.3415748993,74.7450774672855
74.5205315396539,64.8288071237861,3.74810364677313,-34793.3540271429,-46799.0759680226,-33283.9917055074,-34641.4856241234,74.7202551323264
74.496544494132,64.8293746815731,3.7552940534125,-34683.2338376131,-46817.676690538,-33257.7912782629,-34655.3854182697,74.7078172478597
74.4846083243553,64.8294565540132,3.76179834677837,-34732.5923732083,-46756.1624086063,-33361.8944648183,-34641.0109900378,74.7065281201866
74.483200552607,64.829563681709,3.76278544564865,-34867.1663843194,-46858.6087534967,-33221.0960871794,-34566.3434183808,74.6975432397262
74.4746048256669,64.8297651787099,3.7670145347981,-34770.7287972528,-46829.0090918512,-33279.8402413026,-34657.6377232244,74.7387188366607
74.515157807399,64.8290464888368,3.74976898295918,-34819.2587796099,-46814.3835053764,-33270.6918913428,-34597.5175423129,74.7129545792867
74.489615569485,64.8294614487971,3.76272946863668,-34788.7215494665,-46834.8367271715,-33321.602529,-34663.9226080097,74.7113983551087
74.4879932971452,64.8296127183463,3.75844245194376,-34749.3435141224,-46748.4322211751,-33291.3164543089,-34622.0195684027,74.7327896887572
74.5093302767444,64.8290041155233,3.75368569363624,-34810.3053095243,-46846.8836801599,-33299.8706773666,-34611.7421713222,74.7226739149601
74.499078517536,64.8293695999016,3.94029870040022,-35368.1304086532,-42162.0772214051,-33564.0393404883,-45877.3882244114,74.7559357264021
74.5411551911203,64.8368424142463,3.92900670645527,-35322.1172413109,-42146.0193733541,-33506.2805002973,-45954.1303705314,74.744864797992
74.537537480388,64.8368308052274,3.93082492899782,-35348.5215508567,-42181.8504556689,-33478.2628290928,-45931.6317765943,74.7097343269648
74.5031370118414,64.8374229885316,3.94467335485713,-35375.2562880442,-42166.4474845247,-33458.8912069518,-45933.9006353563,74.7429828033256
74.5377056615395,64.8368430749238,3.93002143664017,-35381.8333717078,-42158.1875579388,-33471.9599583454,-45901.9119436215,74.7314041562565
74.5258027778804,64.8370129023407,3.93370754792772,-35301.8031798955,-42185.3103952001,-33450.9866201265,-45925.7025823415,74.6931263353177
74.4877626998936,64.8376097532205,3.95366026078151,-35378.8036352273,-42199.629877779,-33489.0892420207,-45965.7272939948,74.7327435635113
74.5277957730267,64.8371132740712,3.93295237314594,-35358.4695652037,-42155.260372079,-33452.4294258604,-45898.6383859535,74.7265001432301
74.521341741341,64.8370403215018,3.94035293188792,-35363.3802587304,-42235.0299232224,-33438.3822953297,-46023.3640874104,74.7431524154513
74.5376672814542,64.8369719267948,3.92975917108388,-35393.0117228162,-42193.4936123252,-33436.3218146483,-45876.1056140619,74.7257036381739
74.5202090092073,64.8370926546288,3.93646642069852,-35384.1843227277,-42093.4878007506,-33486.2721601184,-45918.1692678408,74.7004064068456
74.4950793533424,64.8375036206947,3.95028077114877,-35367.379461128,-42230.4554646322,-33501.6158462391,-45920.2698431079,74.7196523614596
74.5146552894041,64.8373215040383,4.24821366991367,-43214.2564399389,-40827.1771717838,-43815.0399397105,-41617.5618013211,74.7358842568884
74.5220372953776,64.8490276704928,4.25122455145967,-43295.7541902657,-40762.4005126793,-43855.3421789917,-41668.2392539482,74.7205134321433
74.5216509808983,64.8491438528172,4.24956707765401,-43128.1325242383,-40911.6260037446,-43792.1803084335,-41645.8521183697,74.6752161633879
74.4794417658129,64.849726820519,4.27291890428039,-43233.8700336752,-40905.0400340696,-43792.0548897672,-41721.0275159662,74.7072713249602
